skill,group,synonym,skill source,
.net,se,,,
3d,se,,,
3d algorithms,se,3d,,
3d modeling,se,3d,coursera skill,
a/b testing,data science,ab testing,coursera skill,
ab testing,domain,,,
ability collaborating,soft skills,collaborating,,
ability communications,soft skills,communications,,
ability coordinate,soft skills,,,
ability plan,soft skills,planning,,
ability prioritize,soft skills,planning,,
ability understanding,soft skills,understanding,,
able analyzed,soft skills,analyze data,,
able explain,soft skills,communication,,
able supportable,soft skills,supporting,,
able tell,soft skills,communications,,
accept challenges,soft skills,problem solving,,
accuracy and precision,data science,,coursera skill,
activation function,data science,,coursera skill,
adls,se,,,
administration,databases,,,
administration skilled,databases,administration,,
adversary model,data science,,coursera skill,
advertising,domain,,coursera skill,
adwords,domain,,,
aggregate data,data science,data preprocessing,coursera skill,remove
agile,management,,,
airflow,management,workflow management,,
algebra,math,,,
algebraic operation,math,algebra,coursera skill,remove
algorithm,se,algorithms,,
algorithmic trading,domain,,coursera skill,
algorithmics,se,algorithms,coursera skill,
algorithms,se,,"dou, coursera skill",
alternative hypothesis,data analysis,,coursera skill,remove
amazon,cloud,aws,,
amazon redshift,cloud,aws,,
amazon web services,cloud,aws,"dou, coursera skill",
analysis,data analysis,analyze data,coursera skill,
analysis experience,data science,analyze data,,
analysis market,data science,analyze data,,
analysis of variance,data science,analyze data,coursera skill,
analytics,data science,analyze data,"dou, coursera skill",
analytics mindset,soft skills,able analyzed,,
analyze data,data science,,,
android,se,,,
android jetpack,se,android,,
angular,se,,,
anomaly detect,data science,anomaly detection,,
anomaly detection,data science,,"dou, coursera skill",
ansible,se,,,
apache,se,,"dou, coursera skill",
apache airflow,data science,airflow,,
apache beam,se,apache,coursera skill,
apache flink,se,apache,,
apache hadoop,big data,hadoop,coursera skill,
apache hive,big data,hive,coursera skill,
apache kafka,se,kafka,,
apache spark,se,spark,"dou, coursera skill",
apex,,,,
api,se,,,
app architectural,se,architecting,,
application domain,data science,,coursera skill,
application programming interfaces,se,,coursera skill,
applications of computer vision,cv,computer vision,coursera skill,
applied data mining,data science,data mining,coursera skill,remove
applied machine learning,data science,machine learning,coursera skill,remove
applied mathematical,data science,math,,remove
applied statistics,data science,statistics,"dou, coursera skill",remove
arcgis,domain,,coursera skill,
architecting,se,,,
architecting building,se,architecting,,
architectural designed,se,architecting,,
architectural experience,se,architecting,,
arcmap,domain,,coursera skill,
artificial general intelligence,data science,artificial intelligence,coursera skill,
artificial intelligence,data science,,,
artificial intelligence in healthcare,domain,artificial intelligence,coursera skill,
artificial neural networks,data science,neural networks,coursera skill,
athena,cloud,,,
atlassian,se,,,
autoencoder,data science,,coursera skill,
automating experience,se,automatization,,
automating tests,qa,qa,,
automating various,se,automatization,,
automation,devops,automatization,,
automatization,se,,,
autoregressive integrated moving average,,autoregressive model,coursera skill,
autoregressive model,data science,,coursera skill,
aws,cloud,,,
azure,cloud,,,
azure ml,cloud,azure,,
b degree,education,bachelor,,
b ms,education,bachelor,,
bachelor,education,bachelor,,
bachelor s,education,bachelor,,
backend,se,,,
background math,data science,math,,
background statistics,data science,statistics,,
backpropagation,data science,,coursera skill,
backup,security,backup,"dou, coursera skill",
backup recovery,security,backup,,
backup restore,security,backup,,
bar chart,math,vizualization,coursera skill,remove
bash,se,,,
bayes,math,,,
bdd,se,,,
beam,se,,,
beanstalk,se,,,
behavioral economics,domain,,coursera skill,
bellman equation,rl,,coursera skill,
bi,data analysis,business intelligence,,
big data,big data,,,
bigquery,big data,,,
bigtable,big data,,coursera skill,
binary search tree,se,,coursera skill,
bioconductor,domain,,coursera skill,
biodiversity,domain,,coursera skill,
bioinformatics,domain,,coursera skill,
biology,domain,,coursera skill,
biopython,domain,,coursera skill,
biostatistics,domain,,coursera skill,
biotechnology,domain,,,
bitbucket,se,,,
blob,se,,,
blob storage,se,blob,,
blockchain,domain,,coursera skill,
boosting,data science,,coursera skill,
bsc,education,,,
building applications,se,,,
building ml,se,machine learning,,
building scalability,se,,,
