,Unnamed: 0,guid,first,last,mid,total_income,income,total_area,estate,cars,debt,assets,internal_id
0,0,nacp_010b53ad-4021-455e-953c-a88692e40272,Оксана,Карпенко,Володимирівна,322845,"[{'size': 16178.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 84886.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 17304.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 204477.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}]",0,0,0,0,0,8909.0
1,1,nacp_6c6779f9-79cc-4610-ab2f-0900b61fe09c,Володимир,Студенець,Іванович,192188,"[{'size': '192188', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,1157.0
2,2,nacp_6b59d382-9c47-41a4-8a45-1c2313c0ec2f,Віталій,Петрук,Вікторович,281059,"[{'size': '281059', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,8443.0
3,3,nacp_6ca79ba2-e152-4ce3-8cd5-00dc51905abb,Ірина,Васильєва,Анатоліївна,70433,"[{'size': 70433.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}]",0,0,0,0,0,5472.0
4,4,nacp_6ebc37ad-c625-4dc7-b2b0-679ea06e696e,Світлана,Кустова,Миколаївна,153966,"[{'size': '153966', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,37745.0
5,5,nacp_6fa9a66f-d076-4030-8e1f-78edda12bc4e,Наталія,Щербіна,Геннадіївна,345183,"[{'size': 252930.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 11968.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 3044.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 23604.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 53632.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 5.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",102,"[{'area': 54.8, 'date': '06.02.2003', 'cost': '10', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 48.7, 'date': '29.08.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}]","[{'brand': 'ВАЗ ', 'cost': 0, 'date': '01.04.1989', 'year': 1989.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,"[{'assetsCurrency': 'USD', 'size': 2500.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 500.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}]",36899.0
6,6,nacp_6e513052-927f-4df1-b458-830f1320e993,Ігор,Шевченко,Анатолійович,399916,"[{'size': 296991.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 102612.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 13.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 300.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",108,"[{'area': 45.6, 'date': '06.02.2007', 'cost': '8', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 63.0, 'date': '07.10.1998', 'cost': '27292', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}]","[{'brand': 'Daewoo', 'cost': 0, 'date': '22.04.2008', 'year': 2008.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'ВАЗ', 'cost': 0, 'date': '05.03.1996', 'year': 1981.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,0,34921.0
7,7,nacp_6f73aab8-59f0-4f3e-adc2-d04b31341120,Андрій,Григоров,Миколайович,148940,"[{'size': '148940', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,8369.0
8,8,nacp_7b8d759f-2613-4565-ae8f-3b5a0d904939,Михайло,Попович,Михайлович,178556,"[{'size': '178556', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,7358.0
9,9,nacp_0c70cd09-a69a-4f7d-af66-8f74a7f5126d,Ярослав,Бартош,Михайлович,297444,"[{'size': 202262.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 400.0, 'sizeIncome_hidden': 0, 'type': 'presentmoney', 'is_foreign': 0}, {'size': 0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 94782.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",5304,"[{'area': 213.9, 'date': '24.02.2004', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 1907.0, 'date': '22.02.2004', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 916.0, 'date': '15.11.2012', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 540.4, 'date': '26.06.2015', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 1728.0, 'date': '16.03.2016', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'Люблін3372', 'cost': 30000.0, 'date': '03.12.1998', 'year': 1997.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'truck'}, {'brand': 'SKODA', 'cost': 110523.0, 'date': '31.12.2018', 'year': 2006.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,0,17344.0
