soft,count,field
Zeplin,17,visualization
Weka,18,data science
VSCode,70,se
Tensowflow,149,data science
Tableau,31,visualization
STATA,12,Statistics
SQL,94,databases
Spyder,290,data science
SPSS,10,Statistics
Spark,75,Big data
SKLearn,83,data science 
Shiny,11,data science 
Scipy,17,data science 
Scala,14,se
SAS,31,se
RStudio,3003,se
Rapid Miner,13,data science
Qlik,11,data science
Pytorch,45,data science
Python,2400,data science
PowerBI,12,data science
Plotly,11,data science 
Pandas,151,data science 
Own soft,10,se
Numpy,46,Data Science
Matplotlib,32,Math
Matlab,186,Math
Linux,10,se
Knime,19,data science
Keras,57,data science
Kaggle NoteBook,13,data science
Jypyter Notebook,4399,data science
Java,31,se 
intelliJ,17,se
Hadoop,22,Big data
H2O,10,se
Google Colab,40,se
Excel,54,data science
Elasticsearch,14,cloud
Eclipse,15,se
Docker,12,se
Databricks,14,data science 
Cloudera,13,cloud
C++,28,se
AWS,21,clound
Atom,15,se
Apache Spark,11,se
Anaconda,248,data science 
