,row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions,Max
0,8,2010,Asia-Pacific,Afghanistan,30000,31330000,1,10000,1,1,20000,1,31410000,Muslims
1,9,2010,Europe,Albania,580000,2570000,50000,1,1,1,1,1,3200000,Muslims
2,10,2010,Middle East-North Africa,Algeria,60000,34730000,660000,1,1,10000,1,1,35470000,Muslims
3,11,2010,Asia-Pacific,American Samoa,50000,1,1,1,1,1,1,1,60000,Christians
4,12,2010,Europe,Andorra,70000,1,1,1,1,1,1,1,80000,Christians
5,13,2010,Sub-Saharan Africa,Angola,17270000,40000,980000,1,1,790000,1,1,19080000,Christians
6,14,2010,Latin America-Caribbean,Anguilla,10000,1,1,1,1,1,1,1,10000,Christians
7,15,2010,Latin America-Caribbean,Antigua and Barbuda,80000,1,1,1,1,1,1,1,90000,Christians
8,16,2010,Latin America-Caribbean,Argentina,34420000,400000,4920000,1,20000,330000,120000,200000,40410000,Christians
9,17,2010,Asia-Pacific,Armenia,3050000,1,40000,1,1,1,1,1,3090000,Christians
10,18,2010,Latin America-Caribbean,Aruba,100000,1,1,1,1,1,1,1,110000,Christians
11,19,2010,Asia-Pacific,Australia,14980000,540000,5390000,310000,600000,150000,180000,110000,22270000,Christians
12,20,2010,Europe,Austria,6750000,450000,1130000,1,20000,1,10000,10000,8390000,Christians
13,21,2010,Asia-Pacific,Azerbaijan,280000,8900000,1,1,1,1,1,1,9190000,Muslims
14,22,2010,Latin America-Caribbean,Bahamas,330000,1,10000,1,1,1,1,1,340000,Christians
15,23,2010,Middle East-North Africa,Bahrain,180000,890000,20000,120000,30000,1,1,1,1260000,Muslims
16,24,2010,Asia-Pacific,Bangladesh,450000,134430000,1,12680000,920000,100000,100000,1,148690000,Muslims
17,25,2010,Latin America-Caribbean,Barbados,260000,1,1,1,1,1,1,1,270000,Christians
18,26,2010,Europe,Belarus,6830000,20000,2740000,1,1,1,1,1,9600000,Christians
19,27,2010,Europe,Belgium,6880000,630000,3110000,1,30000,20000,10000,30000,10710000,Christians
20,28,2010,Latin America-Caribbean,Belize,270000,1,30000,1,1,1,1,1,310000,Christians
21,29,2010,Sub-Saharan Africa,Benin,4690000,2110000,450000,1,1,1600000,1,1,8850000,Christians
22,30,2010,North America,Bermuda,50000,1,10000,1,1,1,1,1,60000,Christians
23,31,2010,Asia-Pacific,Bhutan,1,1,1,160000,540000,10000,1,1,730000,Buddhists
24,32,2010,Latin America-Caribbean,Bolivia,9330000,1,400000,1,1,90000,100000,1,9930000,Christians
25,33,2010,Europe,Bosnia-Herzegovina,1970000,1700000,90000,1,1,1,1,1,3760000,Christians
26,34,2010,Sub-Saharan Africa,Botswana,1450000,1,410000,1,1,120000,10000,1,2010000,Christians
27,35,2010,Latin America-Caribbean,Brazil,173300000,40000,15410000,1,250000,5540000,300000,110000,194950000,Christians
28,36,2010,Latin America-Caribbean,British Virgin Islands,20000,1,1,1,1,1,1,1,30000,Christians
29,37,2010,Asia-Pacific,Brunei,40000,300000,1,1,30000,20000,1,1,400000,Muslims
30,38,2010,Europe,Bulgaria,6150000,1020000,310000,1,1,1,1,1,7490000,Christians
31,39,2010,Sub-Saharan Africa,Burkina Faso,3710000,10150000,70000,1,1,2530000,1,1,16470000,Muslims
32,40,2010,Sub-Saharan Africa,Burundi,7670000,230000,1,1,1,480000,1,1,8380000,Christians
33,41,2010,Asia-Pacific,Cambodia,50000,280000,30000,1,13690000,80000,1,1,14140000,Buddhists
34,42,2010,Sub-Saharan Africa,Cameroon,13780000,3590000,1050000,1,1,650000,530000,1,19600000,Christians
35,43,2010,North America,Canada,23470000,710000,8050000,470000,280000,390000,300000,350000,34020000,Christians
36,44,2010,Sub-Saharan Africa,Cape Verde,440000,1,50000,1,1,1,1,1,500000,Christians
37,45,2010,Latin America-Caribbean,Cayman Islands,50000,1,1,1,1,1,1,1,60000,Christians
