,Last_name ,Last_name_En ,First_name,First_name_En,Father_name,Company_name ,CompamyID_number,date ,Country_Ukr,Coutry_En,count
0,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,,Білорусь,Belarus,2.0
1,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,,Литва,Lithuania,7.0
2,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,CEE Confectionery Investments Limited,HE335812,,Кіпр,Cyprus,507.0
3,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,,Угорщина,Hungary,11.0
4,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Bonbonetti""",01-09-730072,,Угорщина,Hungary,11.0
5,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,,Україна,Ukraine,
6,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Рошен-Польська""",KRS0000023285,,Польща,Poland,52.0
7,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,Roshen Europe B.V.,62106430,,Нідерланди,Netherlands,42.0
8,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Телав’ю Лімітед""",HE291726,,Кіпр,Cyprus,507.0
9,Порошенко,Poroshenko,Петро,Petro,Олексійович,DeLuxe Сауда,,,Казахстан,Kazakhstan,2.0
10,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,,Україна,Ukraine,
11,Порошенко,Poroshenko,Петро,Petro,Олексійович,Roshen Europe B.V.,62106430,,Нідерланди,Netherlands,42.0
12,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Товариство з обмеженою відповідальністю ""Grand Кондитер""",170340019202,,Казахстан,Kazakhstan,2.0
13,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Ліпецька кондитерська фабрика ""Рошен""",4824006696,,Росія,Russia,63.0
14,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Харчові продукти ""Рошен"" (Шанхай)""",,,КНР,China,1.0
15,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Рошен-Польська""",KRS0000023285,,Польща,Poland,52.0
16,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""РошенТранс""",4824045159,,Росія,Russia,63.0
17,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Ферувіта С.Л.""",B92830629,,Іспанія,Spain,10.0
18,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Ерай-Систем Лімітед""",HE161938,,Кіпр,Cyprus,507.0
19,Порошенко,Poroshenko,Петро,Petro,Олексійович,Prime Asset Partners Limited,,2014-08-21,Британські Віргінські острови,British Virgin Islands,174.0
20,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Bonbonetti""",01-09-730072,,Угорщина,Hungary,11.0
21,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,,Литва,Lithuania,7.0
22,Порошенко,Poroshenko,Петро,Petro,Олексійович,Центріс Лімітед,70373,,Гібралтар,Gibraltar,2.0
23,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Choco Bonita""",01-09-205282,,Угорщина,Hungary,11.0
24,Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,,Угорщина,Hungary,11.0
25,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,,Білорусь,Belarus,2.0
26,Порошенко,Poroshenko,Петро,Petro,Олексійович,CEE Confectionery Investments Limited,HE335812,,Кіпр,Cyprus,507.0
27,Порошенко,Poroshenko,Петро,Petro,Олексійович,"Limited Liability Company ""Roshen Georgia""",400223904,,Грузія,Georgia,13.0
28,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОШЕН""",4824033114,,Росія,Russia,63.0
29,Бойко,Boyko,Юрій,Yuri,Анатолійович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ТОВАРИСТВО МИСЛИВЦІВ ТА РИБАЛОК ""КЕДР""",36076341,,Україна,Ukraine,
30,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВДІАЛЬНІСТЮ ""ОРІОН СОЛАР""",9102065483,2017-10-24,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
31,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАРІОН СОЛАР""",9102067850,2015-01-04,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
32,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАММА СОЛАР""",9102064264,2017-10-11,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
33,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,Hyperion Netherlands B.V.,,2013-02-04,Нідерланди,Netherlands,42.0
34,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕТА СОЛАР""",9102159036,2017-10-11,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
35,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА СОЛАР""",9102163138,2017-10-11,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
36,Клюєв,Klyuyev,Сергій,Serhiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОМАО СОЛАР""",9102160874,2015-01-20,АР Крим (тимчасово окупована Росією територія України),Crimea (Russia temporarily occupied territory of Ukraine),52.0
