Full_En,Last_name ,Last_name_En ,First_name,First_name_En,Father_name,Company_name ,CompamyID_number,Country_Ukr,Coutry_En
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,Білорусь,Belarus
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,Литва,Lithuania
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,CEE Confectionery Investments Limited,HE335812,Кіпр,Cyprus
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,Угорщина,Hungary
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Bonbonetti""",01-09-730072,Угорщина,Hungary
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,Україна,Ukraine
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Рошен-Польська""",KRS0000023285,Польща,Poland
Poroshenko Oleksiy,Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,Roshen Europe B.V.,62106430,Нідерланди,Netherlands
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Телав’ю Лімітед""",HE291726,Кіпр,Cyprus
Poroshenko Petro,Порошенко,Poroshenko,Петро,Petro,Олексійович,DeLuxe Сауда,,Казахстан,Kazakhstan
