Last_name ,Last_name_En ,First_name,First_name_En,Father_name,Company_name ,CompamyID_number,date ,Country_Ukr,Coutry_En
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,,Білорусь,Belarus
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,,Литва,Lithuania
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,CEE Confectionery Investments Limited,HE335812,,Кіпр,Cyprus
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,,Угорщина,Hungary
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Bonbonetti""",01-09-730072,,Угорщина,Hungary
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,,Україна,Ukraine
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,"""Рошен-Польська""",KRS0000023285,,Польща,Poland
Порошенко,Poroshenko,Олексій,Oleksiy,Петрович,Roshen Europe B.V.,62106430,,Нідерланди,Netherlands
Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Телав’ю Лімітед""",HE291726,,Кіпр,Cyprus
Порошенко,Poroshenko,Петро,Petro,Олексійович,DeLuxe Сауда,,,Казахстан,Kazakhstan
Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,,Україна,Ukraine
Порошенко,Poroshenko,Петро,Petro,Олексійович,Roshen Europe B.V.,62106430,,Нідерланди,Netherlands
Порошенко,Poroshenko,Петро,Petro,Олексійович,"Товариство з обмеженою відповідальністю ""Grand Кондитер""",170340019202,,Казахстан,Kazakhstan
Порошенко,Poroshenko,Петро,Petro,Олексійович,"Ліпецька кондитерська фабрика ""Рошен""",4824006696,,Росія,Russia
Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Харчові продукти ""Рошен"" (Шанхай)""",,,КНР,China
Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Рошен-Польська""",KRS0000023285,,Польща,Poland
Порошенко,Poroshenko,Петро,Petro,Олексійович,"""РошенТранс""",4824045159,,Росія,Russia
Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Ферувіта С.Л.""",B92830629,,Іспанія,Spain
Порошенко,Poroshenko,Петро,Petro,Олексійович,"ТОВ ""Ерай-Систем Лімітед""",HE161938,,Кіпр,Cyprus
Порошенко,Poroshenko,Петро,Petro,Олексійович,Prime Asset Partners Limited,,2014-08-21,Британські Віргінські острови,British Virgin Islands
Порошенко,Poroshenko,Петро,Petro,Олексійович,"""Bonbonetti""",01-09-730072,,Угорщина,Hungary
