Порошенко,Олексій,Петрович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,,,Білорусь
Порошенко,Олексій,Петрович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,,,Литва
Порошенко,Олексій,Петрович,CEE Confectionery Investments Limited,HE335812,CEE Confectionery Investments Limited,,Кіпр
Порошенко,Олексій,Петрович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,,,Угорщина
Порошенко,Олексій,Петрович,"""Bonbonetti""",01-09-730072,,,Угорщина
Порошенко,Олексій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,"""Piskivskiy Glass Plant"" llc",,Україна
Порошенко,Олексій,Петрович,"""Рошен-Польська""",KRS0000023285,,,Польща
Порошенко,Олексій,Петрович,Roshen Europe B.V.,62106430,Roshen Europe B.V.,,Нідерланди
Порошенко,Петро,Олексійович,"ТОВ ""Телав’ю Лімітед""",HE291726,,,Кіпр
Порошенко,Петро,Олексійович,DeLuxe Сауда,"",,,Казахстан
Порошенко,Петро,Олексійович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІСКІВСЬКИЙ ЗАВОД СКЛОВИРОБІВ""",33894121,"""Piskivskiy Glass Plant"" llc",,Україна
Порошенко,Петро,Олексійович,Roshen Europe B.V.,62106430,Roshen Europe B.V.,,Нідерланди
Порошенко,Петро,Олексійович,"Товариство з обмеженою відповідальністю ""Grand Кондитер""",170340019202,,,Казахстан
Порошенко,Петро,Олексійович,"Ліпецька кондитерська фабрика ""Рошен""",4824006696,,,Росія
Порошенко,Петро,Олексійович,"""Харчові продукти ""Рошен"" (Шанхай)""","",,,КНР
Порошенко,Петро,Олексійович,"""Рошен-Польська""",KRS0000023285,,,Польща
Порошенко,Петро,Олексійович,"""РошенТранс""",4824045159,,,Росія
Порошенко,Петро,Олексійович,"ТОВ ""Ферувіта С.Л.""",B92830629,,,Іспанія
Порошенко,Петро,Олексійович,"ТОВ ""Ерай-Систем Лімітед""",HE161938,,,Кіпр
Порошенко,Петро,Олексійович,Prime Asset Partners Limited,"",Prime Asset Partners Ltd.,2014-08-21,Британські Віргінські острови
Порошенко,Петро,Олексійович,"""Bonbonetti""",01-09-730072,,,Угорщина
Порошенко,Петро,Олексійович,"Uzdaroji akcine bendrove ""ROSHEN""",140516933,,,Литва
Порошенко,Петро,Олексійович,Центріс Лімітед,70373,,,Гібралтар
Порошенко,Петро,Олексійович,"""Choco Bonita""",01-09-205282,,,Угорщина
Порошенко,Петро,Олексійович,"""Кондитерська фабрика ""Bonbonetti Choco""",01-09-269570,,,Угорщина
Порошенко,Петро,Олексійович,"Товариство з обмеженою відповідальністю ""Рошен-Бел""",690667393,,,Білорусь
Порошенко,Петро,Олексійович,CEE Confectionery Investments Limited,HE335812,CEE Confectionery Investments Limited,,Кіпр
Порошенко,Петро,Олексійович,"Limited Liability Company ""Roshen Georgia""",400223904,,,Грузія
Порошенко,Петро,Олексійович,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОШЕН""",4824033114,,,Росія
Бойко,Юрій,Анатолійович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ТОВАРИСТВО МИСЛИВЦІВ ТА РИБАЛОК ""КЕДР""",36076341,,,Україна
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВДІАЛЬНІСТЮ ""ОРІОН СОЛАР""",9102065483,,2017-10-24,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАРІОН СОЛАР""",9102067850,LLC Clarion Solar,2015-01-04,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАММА СОЛАР""",9102064264,,2017-10-11,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,Hyperion Netherlands B.V.,"",,2013-02-04,Нідерланди
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕТА СОЛАР""",9102159036,,2017-10-11,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА СОЛАР""",9102163138,,2017-10-11,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОМАО СОЛАР""",9102160874,,2015-01-20,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 5""",9102068251,,2015-01-04,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,Krasolena Investment Ltd,HE263783,,,Кіпр
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 2""",9102162102,,2015-01-22,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,MIlideno Holdings Ltd.,HE310105,,2012-08-02,Кіпр
Клюєв,Сергій,Петрович,KOLTRESO COMMERCIAL LTD,ΗΕ315417,,2012-11-19,Кіпр
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКТИВ ДЕВЕЛОПМЕНТ УКРАЇНА""",34979111,,,Україна
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 1""",9102158473,,,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОДЮСЕРСЬКИЙ ЦЕНТР ""СТАР ВЕЙ""",39043675,,,Україна
Клюєв,Сергій,Петрович,CEE Clean Economic Energy AG,"",,,Австрія
Клюєв,Сергій,Петрович,Helios Netherlands B.V.,57607354,,2013-02-04,Нідерланди
Клюєв,Сергій,Петрович,Black Sea Renewable Energies GmbH,FN361858w,,,Австрія
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕТА СОЛАР""",9102064730,,2014-12-24,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,Gunaldi Commercial Ltd,HE292598,,,Кіпр
Клюєв,Сергій,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,JSC Delta Solar,2015-01-04,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА СОЛАР""",9102067787,JSC Delta Solar,2015-01-04,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАШЗАВОД"" М.НОВОГРОДІВКА",14310336,,,Україна
Клюєв,Сергій,Петрович,Activ Solar GmbH,ATU6419461,,2008-02-15,Австрія
Клюєв,Сергій,Петрович,Activ Solar GmbH,ATU6419461,,2008-02-15,Австрія
Клюєв,Сергій,Петрович,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""РАЗОМ""",39647780,,,Україна
Клюєв,Сергій,Петрович,P & A Corporate Services Trust,"",,,Ліхтенштейн
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАПЕЛЛА СОЛАР""",9102163321,,2014-12-25,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"SLAV HANDEL,VERTRETUNG UND BETEILIGUNG AKTIENGESELLSCHAFT",FN129821P,,,Австрія
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОУЗІЛ СОЛАР""",9102163882,,2017-08-31,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" МАШИНОБУДІВНИЙ ЗАВОД ""ВІСТЕК""",31226457,,,Україна
Клюєв,Сергій,Петрович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКТИВ-СТРАХУВАННЯ""",31446152,,,Україна
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 4""",9102160095,,2015-01-16,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 3""",9102160105,,2015-01-16,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ОУЛ СОЛАР""",9102067522,,2015-01-03,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,Kvalisto Holdings Ltd,HE301963,,,Кіпр
Клюєв,Сергій,Петрович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОСПРІЙ СОЛАР""",9102160070,,2015-01-16,АР Крим (тимчасово окупована Росією територія України)
Клюєв,Сергій,Петрович,Aurnia Commercial Ltd,ΗΕ291411,,,Кіпр
