Date,AA,AAPL,MELI,AMZN,CIBR,BRK-B,CRWD,GME,JPM,ME,MFST,PLTR,QQQ,SMFG,TM,VALE
2021-09-30,,,,,,,100,,,,,,,,,
2021-10-01,,,,,,,100,,,,,,,,,
2021-10-04,,,,,,,100,100,,,,,,,,
2021-10-05,,,,,,,100,100,,,,,,,,
2021-10-06,,,,,,,100,100,,,,,,,,
2021-10-07,,,5,,,,100,100,,,,,,,,
2021-10-08,,,5,,,,100,100,,,,,,,,
2021-10-11,100,,5,5,,,100,100,,,,,,,,
2021-10-12,100,,5,5,,,100,100,,,,,,,,
2021-10-13,100,,5,5,,,100,100,,,,,,,,
2021-10-14,100,,5,5,,,100,100,,,,,,,,
2021-10-15,100,,5,5,,,100,100,,,,,,,,
2021-10-18,100,,5,5,100,30,100,100,50,,,,,,,300
2021-10-19,100,,5,5,100,30,100,100,50,,,,,,,300
2021-10-20,100,,5,5,100,30,100,100,50,,,,,,,300
2021-10-21,100,,5,5,100,30,100,100,50,,,,,,,400
2021-10-22,100,,5,5,100,30,100,100,50,,,,,,,400
2021-10-25,100,,5,5,100,30,100,100,50,,,,,,,400
2021-10-26,100,,5,5,100,30,100,100,50,,,,,,,400
2021-10-27,100,,5,5,100,30,100,100,50,,,,,,,400
2021-10-28,100,,5,5,100,30,100,100,50,,,,,,,400
2021-10-29,100,,5,5,100,30,100,100,50,,,,,,,400
2021-11-01,100,,5,5,100,30,100,100,50,,,,,,,400
2021-11-02,100,,5,5,100,30,100,100,50,,,,,,,400
2021-11-03,100,,-5,5,100,30,100,100,50,,20,,,,,400
2021-11-04,100,,,5,100,30,100,50,50,,20,,,,,400
2021-11-05,100,,,5,100,30,100,50,50,,20,,,,,400
2021-11-08,100,,,5,100,30,100,-100,50,,20,,,,,400
2021-11-09,100,,,5,100,30,100,50,50,,20,,,,,400
2021-11-10,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-11,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-12,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-15,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-16,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-17,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-18,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-19,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-22,100,,,5,100,30,100,,50,100,20,100,,200,50,400
2021-11-23,100,,,5,100,30,130,,50,100,20,100,,200,50,400
2021-11-24,-100,,,5,100,30,130,,50,100,20,100,,200,50,400
